,PFA-0-1,PFA-0-2,PFA-1-1,PFA-1-2,PFA-2-1,PFA-2-2,PFA-3-1,PFA-3-2,PFA-4-1,PFA-4-2,PID-1-1,PID-1-2,PID-2-1,PID-2-2,PID-3-1,PID-3-2,PID-4-1,PID-4-2,SA_1.13-0-1
Units,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
35,93.26132703,92.42528989,129.6392357,129.6392357,123.4165516,128.4098716,132.9518533,119.5013712,144.7003393,142.6634895,0.012921463,0.011762941,0.013944664,0.012921463,0.009490666,0.009323334,0.004638475,0.003559,0.387
36,109.241742,107.1665933,152.9855461,152.9855461,143.3406724,149.9122601,155.3653779,139.4426117,167.0753879,167.8412018,0.015499108,0.014131405,0.01652349,0.015499108,0.011511608,0.011083636,0.005483263,0.004316853,0.387
37,46.88126506,48.56273454,63.0959043,63.0959043,64.37575433,65.49292139,67.52413791,61.08135905,77.4321387,70.36449201,0.005858449,0.005297294,0.006667038,0.005858449,0.004099219,0.004394735,0.002240675,0.001537207,0.387
38,74.69794134,75.09283677,102.7578372,102.7578372,100.0369064,103.332733,106.8422264,96.23115282,118.2603956,113.5678193,0.010010433,0.009093073,0.010989776,0.010010433,0.00723835,0.007314137,0.003667764,0.002714381,0.387
39,72.81055313,73.31606807,100.0411126,100.0411126,97.64346951,100.7761984,104.1825167,93.85787434,115.5408069,110.6200274,0.009720098,0.008827125,0.010692135,0.009720098,0.00701574,0.007112288,0.003569797,0.002630902,0.387
40,201.8326249,190.3322842,290.9230586,290.9230586,256.2394021,273.4125926,284.4265335,253.8271172,291.9303932,315.4067808,0.031399232,0.028801512,0.031925491,0.031399232,0.024352915,0.021687981,0.010497298,0.009132343,0.387
41,61.87525216,62.96051387,84.36857975,84.36857975,83.70738915,85.93515573,88.75123991,80.07666804,99.65132361,93.5842309,0.008060957,0.00730872,0.008979151,0.008060957,0.005751814,0.005952807,0.003005205,0.00215693,0.387
42,126.6757605,123.0914238,178.6390278,178.6390278,164.8993047,173.2950541,179.7618403,161.1173063,191.1488318,195.4254235,0.018376465,0.016779228,0.019368409,0.018376465,0.013791975,0.013031706,0.006413087,0.005171991,0.387
43,143.3700618,138.2083269,203.3607649,203.3607649,185.3935554,195.621896,203.0759185,181.8043707,213.918828,221.9382867,0.021188271,0.019370169,0.022119632,0.021188271,0.016041755,0.014920886,0.007310464,0.006015658,0.387
44,153.6660992,147.4742863,218.6763302,218.6763302,197.9683241,209.3639853,217.4340712,194.5333486,227.8402964,238.3331301,0.022947491,0.020992726,0.023828294,0.022947491,0.017458858,0.016096489,0.007866986,0.006547072,0.387
45,79.07983263,79.20691133,109.0774957,109.0774957,105.581301,109.2629748,113.0133675,101.7355872,124.5506104,120.419484,0.010688711,0.009714628,0.011682897,0.010688711,0.007759935,0.007784588,0.003895757,0.002909976,0.387
46,40.65957554,42.50542753,54.35751568,54.35751568,56.26116364,56.97203205,58.68772638,53.15824124,68.03088184,60.78658143,0.004973547,0.00449087,0.005722543,0.004973547,0.003445272,0.003761083,0.001927357,0.001291977,0.387
47,90.9027561,90.23642455,126.2086963,126.2086963,120.4610518,125.2300131,129.6391596,116.5515103,141.3696859,138.9571112,0.012546358,0.011418595,0.01356665,0.012546358,0.009198523,0.009065803,0.004514468,0.003449446,0.387
48,57.49180569,58.77734584,78.12149212,78.12149212,78.08498869,79.97103041,82.5544733,74.53636754,93.21224367,86.77797883,0.007407755,0.00671163,0.008298474,0.007407755,0.005258407,0.005493211,0.002780453,0.001971903,0.387
49,132.0989703,128.0155078,186.6541187,186.6541187,171.5720028,180.554455,187.3402795,167.844436,198.5740665,204.028222,0.019284131,0.017615251,0.020259416,0.019284131,0.014516054,0.013643001,0.006703893,0.00544352,0.387
